id,title,description,date,time,location,type,university_name,created_by,created_at
b1a1e1a0-1111-4a1a-8a1a-111111111111,Tech Innovation Summit 2025,Annual technology conference,2025-11-20,10:00:00,Main Auditorium,Seminar,Global Tech University,,2025-02-01T09:00:00Z
b1a1e1a0-2222-4a1a-8a1a-222222222222,Cultural Fest - Spring Edition,Spring cultural festival,2025-12-01,09:00:00,Open Ground,Cultural,Springfield College,,2025-02-02T09:00:00Z
b1a1e1a0-3333-4a1a-8a1a-333333333333,Career Fair 2025,Meet top recruiters,2025-12-02,11:00:00,Convention Center,Workshop,Metro University,,2025-02-03T09:00:00Z
b1a1e1a0-4444-4a1a-8a1a-444444444444,Annual Sports Day,Inter-college sports event,2026-01-15,08:00:00,Sports Complex,Sports,National Sports Institute,,2025-02-04T09:00:00Z
b1a1e1a0-5555-4a1a-8a1a-555555555555,Music Concert Night,Live music performances,2025-09-01,19:00:00,Theater Hall,Music,City Arts University,,2025-02-05T09:00:00Z
b1a1e1a0-6666-4a1a-8a1a-666666666666,Entrepreneurship Workshop,Startup workshop,2025-12-10,16:00:00,Seminar Hall B,Workshop,Metro University,,2025-02-06T09:00:00Z
9676eef0-476b-4331-84a8-e3deea1c4139,Robotics Workshop,Hands-on session on modern robotics.,2025-09-01,14:00:00,Engineering Lab 201,Workshop,Global Tech University,,2025-11-25T10:00:00Z
ace100d3-2621-49cc-ba3f-07ea6ba0f290,Startup Pitch Night,Present your ideas to investors.,2025-12-20,18:00:00,Innovation Hub,Seminar,Metro University,,2025-11-26T11:00:00Z
be6d6470-58eb-408c-8949-d6ed4f97e314,Alumni Meetup,Networking event for all graduates.,2024-05-15,19:30:00,Grand Ballroom,Social,Springfield College,,2025-01-01T12:00:00Z
58f67863-b78c-4564-8a40-17f06fef607a,Book Launch Event,Meet the author and get a signed copy.,2026-03-09,11:30:00,Rooftop Garden,Conference,Central Liberal Arts,,2025-10-22T00:00:00Z
